# Synchrotron Beamline - Construction & Spatial Guide
# Generated: 9/10/2026, 9:36:03 AM
# Total Beamline Length: 58 m | Components: 20
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (mm),Lateral Offset Z (mm),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
1,"IVU32",SOURCE,0.000,3.328,3.328,-3.328,0.000,NO,YES,NO,YES,YES,NO,NO,"","",20.700,"Wall",0.0,0.0,,,"#ef4444",1.0,"dashed",NO,YES,"Undulator","32","104","dashed",,,,,"Open Beamline"
2,"Wall",WALL,20.850,0.300,0.300,20.700,21.000,NO,NO,NO,YES,YES,YES,NO,"","",0.750,"WBS",-,-,7.000,7.000,"",,"",,,"7","7","","",,,,,"Open Beamline"
3,"WBS",SLIT,22.000,0.300,0.500,21.750,22.250,NO,YES,NO,YES,NO,NO,NO,"","",0.500,"DW",0.0,0.0,,,"",,"",,,"","","","",-3.1,15.2,,,"Open Beamline"
4,"DW",FILTER,23.000,0.600,0.500,22.750,23.250,NO,YES,NO,YES,NO,NO,NO,"#c7f5fc","",0.250,"DBS",0.0,0.0,,,"",,"",,,"","","","",1.7,15.7,,,"Open Beamline"
5,"DBS",GRATING,24.000,0.500,1.000,23.500,24.500,NO,YES,NO,YES,NO,NO,NO,"","",0.750,"FSM",0.0,0.0,,,"",,"",,,"Vertical","0","-190","",5.1,2.9,,,"Open Beamline"
6,"FSM",SCREEN,25.500,0.600,0.500,25.250,25.750,NO,YES,NO,YES,NO,NO,NO,"","",0.050,"DCM",0.0,0.0,,,"",,"",,,"","","","",0.8,15.4,,,"Open Beamline"
7,"DCM",VDCM,26.300,1.200,1.200,25.800,27.000,YES,YES,NO,YES,NO,NO,NO,"","",-0.250,"Slit",0.0,0.0,,,"",,"",,,"25","45","0.5","0.5",1.5,16.1,2.2,12.3,"Open Beamline"
8,"Slit",SLIT,26.900,0.300,0.300,26.750,27.050,NO,YES,NO,YES,YES,NO,NO,"","",0.850,"Wall",25.0,0.0,,,"",,"",,,"","","","",7.5,17.1,4.2,8.3,"Open Beamline"
9,"Wall",WALL,27.950,0.100,0.100,27.900,28.000,NO,NO,NO,NO,YES,YES,NO,"","",0.750,"FSM",-,-,7.000,7.000,"",,"",,,"7","7","","",,,,,"Open Beamline"
10,"FSM",SCREEN,29.000,0.600,0.500,28.750,29.250,NO,YES,NO,YES,NO,NO,NO,"","",0.150,"VFM",25.0,0.0,,,"",,"",,,"","","","",-2.0,15.1,-3.7,14.3,"Open Beamline"
11,"VFM",VFM,29.700,0.600,0.600,29.400,30.000,NO,YES,NO,YES,YES,NO,NO,"","",0.000,"HFM",25.0,0.0,,,"",,"",,,"0.6","0","","0.3",0.6,16.0,-0.1,14.9,"Open Beamline"
12,"HFM",HFM,30.300,0.600,0.600,30.000,30.600,NO,YES,NO,YES,YES,NO,NO,"","",3.650,"Slit",25.2,0.0,,,"",,"",,,"0.6","0","","0.3",12.0,15.1,13.0,8.2,"Open Beamline"
13,"Slit",SLIT,34.500,0.300,0.500,34.250,34.750,NO,YES,NO,YES,YES,NO,NO,"","",2.500,"XBPM",26.8,3.1,,,"",,"",,,"","","","",0.2,16.2,0.0,9.0,"Open Beamline"
14,"XBPM",XBPM,37.500,0.425,0.500,37.250,37.750,NO,YES,NO,YES,NO,NO,NO,"","",0.000,"Screen",28.0,5.3,,,"",,"",,,"","","","",-4.6,11.4,-4.9,10.8,"Open Beamline"
15,"Screen",SCREEN,38.000,0.600,0.500,37.750,38.250,NO,YES,NO,YES,NO,NO,NO,"","",0.625,"Slit",28.2,5.7,,,"",,"",,,"","","","",7.4,12.9,5.1,14.3,"Open Beamline"
16,"Slit",SLIT,38.900,0.300,0.050,38.875,38.925,NO,NO,NO,YES,YES,NO,NO,"","",0.050,"Sample",28.5,6.3,,,"",,"",,,"","","","",-5.1,6.6,-3.0,8.5,"Open Beamline"
17,"Sample",SAMPLE,39.000,0.600,0.050,38.975,39.025,NO,YES,NO,YES,NO,NO,NO,"","",0.075,"Movable Detector",28.6,6.4,,,"",,"",,,"YES","","","",16.9,-1.4,13.7,-2.7,"Open Beamline"
18,"Movable Detector",DETECTOR,45.100,1.050,12.000,39.100,51.100,NO,YES,NO,YES,NO,NO,YES,"","",6.900,"End of Beamline",30.9,10.9,,,"",,"",,,"Silicon Detector","NO","YES","",0.6,16.9,-0.3,18.6,"Open Beamline"
19,"Side Anchor",ANCHOR_SIDE,42.700,0.000,0.000,42.700,42.700,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",30.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
20,"Top Anchor",ANCHOR_TOP,43.900,0.000,0.000,43.900,43.900,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.0,10.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
