# SPS-II_GIXRD/TRXRF - Construction & Spatial Guide
# Generated: 09/09/2026, 20:00:00
# Total Beamline Length: 58 m | Components: 26
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (mm),Lateral Offset Z (mm),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
1,IVU18,SOURCE,0.000,2.000,2.000,-2.000,0.000,NO,NO,NO,YES,NO,NO,NO,,,1.100,Slit,0.0,0.0,,,#ef4444,1.0,solid,NO,YES,Undulator,50,40,solid,,,,,Open Beamline
2,Slit,SLIT,1.350,0.300,0.500,1.100,1.600,NO,NO,NO,YES,NO,NO,NO,,,1.030,XBPM,0.0,0.0,,,,,,,,,,,,,,,,Open Beamline
3,XBPM,XBPM,2.880,0.425,0.500,2.630,3.130,NO,NO,NO,YES,NO,NO,NO,,,4.760,XBPM,0.0,0.0,,,,,,,,,,,,,,,,Open Beamline
4,XBPM,XBPM,8.140,0.425,0.500,7.890,8.390,NO,NO,NO,YES,NO,NO,NO,,,0.760,Screen,0.0,0.0,,,,,,,,,,,,,,,,Open Beamline
5,Screen,SCREEN,9.400,0.600,0.500,9.150,9.650,NO,NO,NO,YES,NO,NO,NO,,,0.790,Wall,0.0,0.0,,,,,,,,,,,,,,,,Open Beamline
6,Wall,WALL,10.590,0.300,0.300,10.440,10.740,NO,NO,NO,YES,NO,NO,NO,,,9.810,Filter,-,-,7.000,7.000,,,,,,7,7,,,,,,,Open Beamline
7,Optics Hutch 1,HUTCH,29.500,19.000,19.000,20.000,39.000,NO,NO,NO,YES,NO,NO,NO,,,0.000,Optics Hutch 2,-,-,7.000,7.000,,,,,,7,7,,,,,,,Open Beamline
8,Filter,FILTER,20.800,0.400,0.500,20.550,21.050,NO,NO,NO,YES,NO,NO,NO,,,0.200,Filter,0.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
9,Filter,FILTER,21.500,0.400,0.500,21.250,21.750,NO,NO,NO,NO,NO,NO,NO,,,0.200,Slit,0.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
10,Slit,SLIT,22.200,0.300,0.500,21.950,22.450,NO,NO,NO,NO,NO,NO,NO,,,0.200,FSM,0.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
11,FSM,SCREEN,22.900,0.600,0.500,22.650,23.150,NO,NO,NO,YES,NO,NO,NO,,,0.350,VDCM,0.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
12,VDCM,VDCM,24.000,1.200,1.200,23.500,24.700,YES,NO,NO,YES,NO,NO,NO,,,3.050,FSM,0.0,0.0,,,,,,,,25,45,0.5,0.5,,,,,Optics Hutch 1
13,FSM,SCREEN,28.000,0.600,0.500,27.750,28.250,NO,NO,NO,YES,NO,NO,NO,,,1.450,VFM,25.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
14,VFM,VFM,31.000,2.000,2.600,29.700,32.300,NO,NO,NO,YES,NO,NO,NO,,,0.950,FSM,25.0,0.0,,,,,,,,2.0,0,,0.3,,,,,Optics Hutch 1
15,FSM,SCREEN,33.500,0.600,0.500,33.250,33.750,NO,NO,NO,YES,NO,NO,NO,,,1.500,XBPM,25.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
16,XBPM,XBPM,35.500,0.425,0.500,35.250,35.750,NO,NO,NO,YES,NO,NO,NO,,,1.500,FSM,25.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
17,FSM,SCREEN,37.500,0.600,0.500,37.250,37.750,NO,NO,NO,YES,NO,NO,NO,,,2.150,HFM,25.0,0.0,,,,,,,,,,,,,,,,Optics Hutch 1
