# Synchrotron Beamline - Construction & Spatial Guide
# Generated: 9/9/2026, 12:01:35 PM
# Total Beamline Length: 45 m | Components: 18
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (m),Lateral Offset Z (m),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
1,"IVU32",SOURCE,0.000,3.328,3.328,-3.328,0.000,NO,YES,NO,YES,YES,NO,NO,"","",20.700,"Wall",0.000,0.000,,,"#ef4444",1.0,"dashed",NO,YES,"Undulator","32","104","dashed",,,,,"Open Beamline"
2,"Wall",WALL,20.850,0.300,0.300,20.700,21.000,NO,NO,NO,YES,YES,YES,NO,"","",3.250,"WBS",7.000,0.000,7.000,7.000,"",,"",,,"7","7","","",,,,,"Open Beamline"
3,"WBS",SLIT,24.500,0.300,0.500,24.250,24.750,NO,YES,NO,YES,NO,NO,NO,"","",0.000,"FSM",0.000,0.000,,,"",,"",,,"","","","",-5.1,16.9,,,"Open Beamline"
4,"FSM",SCREEN,25.000,0.600,0.500,24.750,25.250,NO,YES,NO,YES,NO,NO,NO,"#c7f5fc","",0.599,"DCM",0.000,0.000,,,"",,"",,,"","","","",6.2,16.8,,,"Open Beamline"
5,"DCM",VDCM,26.300,1.200,1.200,25.849,27.049,NO,YES,NO,YES,NO,NO,NO,"","",-0.399,"Slit",0.125,0.000,,,"",,"",,,"0.25","20","0.5","0.7",1.5,16.1,2.2,12.3,"Open Beamline"
6,"Slit",SLIT,26.900,0.300,0.500,26.650,27.150,NO,YES,NO,YES,YES,NO,NO,"","",0.750,"Wall",0.250,0.000,,,"",,"",,,"","","","",7.5,17.1,4.2,8.3,"Open Beamline"
7,"Wall",WALL,27.950,0.100,0.100,27.900,28.000,NO,NO,NO,NO,YES,YES,NO,"","",0.750,"FSM",7.000,0.000,7.000,7.000,"",,"",,,"7","7","","",,,,,"Open Beamline"
8,"FSM",SCREEN,29.000,0.600,0.500,28.750,29.250,NO,YES,NO,YES,NO,NO,NO,"","",0.150,"VFM",0.250,0.000,,,"",,"",,,"","","","",-2.0,15.1,-3.7,14.3,"Open Beamline"
9,"VFM",VFM,29.700,0.600,0.600,29.400,30.000,NO,YES,NO,YES,YES,NO,NO,"","",0.000,"HFM",0.250,0.000,,,"",,"",,,"0.6","0","","0.3",0.6,16.0,-0.1,14.9,"Open Beamline"
10,"HFM",HFM,30.300,0.600,0.600,30.000,30.600,NO,YES,NO,YES,YES,NO,NO,"","",3.650,"Slit",0.252,0.000,,,"",,"",,,"0.6","0","","0.3",12.0,15.1,13.0,8.2,"Open Beamline"
11,"Slit",SLIT,34.500,0.300,0.500,34.250,34.750,NO,YES,NO,YES,YES,NO,NO,"","",2.500,"XBPM",0.268,0.031,,,"",,"",,,"","","","",0.2,16.2,0.0,9.0,"Open Beamline"
12,"XBPM",XBPM,37.500,0.425,0.500,37.250,37.750,NO,YES,NO,YES,NO,NO,NO,"","",0.000,"Screen",0.280,0.053,,,"",,"",,,"","","","",-4.6,11.4,-4.9,10.8,"Open Beamline"
13,"Screen",SCREEN,38.000,0.600,0.500,37.750,38.250,NO,YES,NO,YES,NO,NO,NO,"","",0.625,"Slit",0.282,0.057,,,"",,"",,,"","","","",7.4,12.9,5.1,14.3,"Open Beamline"
14,"Slit",SLIT,38.900,0.300,0.050,38.875,38.925,NO,NO,NO,YES,YES,NO,NO,"","",0.050,"Sample",0.285,0.063,,,"",,"",,,"","","","",-5.1,6.6,-3.0,8.5,"Open Beamline"
15,"Sample",SAMPLE,39.000,0.600,0.050,38.975,39.025,NO,YES,NO,YES,NO,NO,NO,"","",-0.025,"Movable Detector",0.286,0.064,,,"",,"",,,"YES","","","",16.9,-1.4,13.7,-2.7,"Open Beamline"
16,"Movable Detector",DETECTOR,45.000,1.050,12.000,39.000,51.000,NO,YES,NO,YES,NO,NO,YES,"","",-6.000,"End of Beamline",0.309,0.108,,,"",,"",,,"Silicon Detector","NO","YES","",0.6,16.9,-0.3,18.6,"Open Beamline"
17,"Side Anchor",ANCHOR_SIDE,42.700,0.000,0.000,42.700,42.700,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.300,0.000,,,"",,"",,,"","","","",,,,,"Open Beamline"
18,"Top Anchor",ANCHOR_TOP,43.900,0.000,0.000,43.900,43.900,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.000,0.100,,,"",,"",,,"","","","",,,,,"Open Beamline"
