# Synchrotron Beamline - Construction & Spatial Guide
# Generated: 9/9/2026, 7:39:49 PM
# Total Beamline Length: 50 m | Components: 23
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (mm),Lateral Offset Z (mm),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
1,"IVU32",SOURCE,0.000,1.664,1.664,-1.664,0.000,NO,YES,NO,YES,YES,NO,NO,"","",20.700,"Wall",0.0,0.0,,,"#ef4444",1.0,"dashed",NO,YES,"Undulator","32","52","dashed",,,,,"Open Beamline"
2,"Wall",WALL,20.850,0.300,0.300,20.700,21.000,NO,NO,NO,YES,NO,YES,NO,"","",0.750,"WBS",-,-,5.000,5.000,"",,"",,,"5","5","","",,,-10.9,4.6,"Open Beamline"
3,"WBS",SLIT,22.000,0.300,0.500,21.750,22.250,NO,YES,NO,YES,NO,NO,NO,"","",0.200,"FSM",0.0,0.0,,,"",,"",,,"","","","",0.0,17.5,-1.4,14.6,"Open Beamline"
4,"FSM",SCREEN,22.700,0.600,0.500,22.450,22.950,NO,YES,NO,YES,NO,NO,NO,"#e0ffec","",0.300,"VCM",0.0,0.0,,,"",,"",,,"","","","",0.6,14.3,1.7,15.4,"Open Beamline"
5,"VCM",VFM,24.000,1.000,1.500,23.250,24.750,NO,YES,NO,YES,YES,NO,NO,"","",1.500,"XBPM",0.0,0.0,,,"",,"",,,"1","0","","0.3",1.1,14.6,2.0,15.7,"Open Beamline"
6,"Side Anchor",ANCHOR_SIDE,26.100,0.000,0.000,26.100,26.100,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",10.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
7,"XBPM",XBPM,26.500,0.425,0.500,26.250,26.750,NO,YES,NO,YES,NO,NO,NO,"","",0.500,"FSM",12.0,0.0,,,"",,"",,,"","","","",0.6,13.1,0.6,11.7,"Open Beamline"
8,"FSM",SCREEN,27.500,0.600,0.500,27.250,27.750,NO,YES,NO,YES,NO,NO,NO,"","",0.150,"DCM",17.0,0.0,,,"",,"",,,"","","","",-0.3,14.0,0.9,14.6,"Open Beamline"
9,"DCM",VDCM,28.400,1.200,1.200,27.900,29.100,YES,YES,NO,YES,YES,NO,NO,"","",0.400,"VFM",0.0,0.0,,,"",,"",,,"25","45","0.5","0.5",5.7,12.6,6.9,13.7,"Open Beamline"
10,"VFM",VFM,30.000,0.800,1.000,29.500,30.500,NO,YES,NO,YES,NO,NO,NO,"","",0.400,"Wall",25.0,0.0,,,"",,"",,,"0.8","0","","0.3",-0.3,16.3,2.9,16.3,"Open Beamline"
11,"Wall",WALL,30.950,0.100,0.100,30.900,31.000,NO,NO,NO,NO,YES,YES,NO,"","",4.900,"Wall (Copy)",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
12,"Side Anchor",ANCHOR_SIDE,34.600,0.000,0.000,34.600,34.600,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",30.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
13,"Wall (Copy)",WALL,35.950,0.100,0.100,35.900,36.000,NO,NO,NO,NO,YES,YES,NO,"","",0.750,"XBPM",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
14,"XBPM",XBPM,37.000,0.425,0.500,36.750,37.250,NO,YES,NO,NO,NO,NO,NO,"","",0.000,"Screen",30.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
15,"Screen",SCREEN,37.500,0.600,0.500,37.250,37.750,NO,YES,NO,NO,NO,NO,NO,"","",0.250,"HFM",30.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
16,"HFM",HFM,38.500,0.800,1.000,38.000,39.000,NO,YES,NO,YES,NO,NO,NO,"","",0.000,"DHRM",30.0,0.0,,,"",,"",,,"0.8","0","","0.3",0.6,15.1,0.9,15.4,"Open Beamline"
17,"Top Anchor",ANCHOR_TOP,39.000,0.000,0.000,39.000,39.000,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.0,10.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
18,"DHRM",HFM,39.500,0.800,1.000,39.000,40.000,NO,YES,NO,YES,NO,NO,NO,"","",0.750,"Screen",30.0,20.0,,,"",,"",,,"0.8","0","","0.3",2.8,15.2,3.7,14.3,"Open Beamline"
19,"Screen",SCREEN,41.000,0.600,0.500,40.750,41.250,NO,YES,NO,NO,NO,NO,NO,"","",0.200,"Slit",30.0,20.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
20,"Top Anchor",ANCHOR_TOP,40.800,0.000,0.000,40.800,40.800,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.0,20.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
21,"Slit",SLIT,41.500,0.300,0.100,41.450,41.550,NO,YES,NO,NO,NO,NO,NO,"","",0.150,"Sample",30.0,20.0,,,"",,"",,,"","","","",-2.9,9.1,,,"Open Beamline"
22,"Sample",SAMPLE,42.000,0.600,0.600,41.700,42.300,NO,YES,NO,YES,YES,NO,NO,"","",1.600,"Wall (Copy) (Copy)",30.0,20.0,,,"",,"",,,"NO","","","",8.6,13.7,8.3,11.4,"Open Beamline"
23,"Wall (Copy) (Copy)",WALL,43.950,0.100,0.100,43.900,44.000,NO,NO,NO,NO,NO,YES,NO,"","",6.000,"End of Beamline",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
